header_pi_zero_w

Pin,    Type,           Name,            Unit,  Side
1,     power_out,     VCC3V3,            PWR,   left
17,    power_out,     VCC3V3,            PWR,   left
2,     power_out,     VCC5V,             PWR,   left
4,     power_out,     VCC5V,             PWR,   left
39,    power_in,      GND,               PWR,   left
34,    power_in,      GND,               PWR,   left
30,    power_in,      GND,               PWR,   left
25,    power_in,      GND,               PWR,   left
20,    power_in,      GND,               PWR,   left
14,    power_in,      GND,               PWR,   left
9,     power_in,      GND,               PWR,   left
6,     power_in,      GND,               PWR,   left
3,     bidirectional, GPIO2_I2C1_SDA,    IO,    right
5,     bidirectional, GPIO3_I2C1_SCL,    IO,    right
7,     bidirectional, GPIO34_GCLK0,      IO,    right
8,     bidirectional, GPIO14_UART_TXD,   IO,    right
10,    bidirectional, GPIO14_UART_RXD,   IO,    right
11,    bidirectional, GPIO17,            IO,    right
12,    bidirectional, GPIO18_PWM0,       IO,    right
13,    bidirectional, GPIO27,            IO,    right
15,    bidirectional, GPIO22,            IO,    right
16,    bidirectional, GPIO23,            IO,    right
18,    bidirectional, GPIO24,            IO,    right
19,    bidirectional, GPIO10_MOSI,       IO,    right
21,    bidirectional, GPIO9_MISO,        IO,    right
22,    bidirectional, GPIO25,            IO,    right
23,    bidirectional, GPIO11_SCLK,       IO,    right
24,    bidirectional, GPIO8_CE0,         IO,    right
26,    bidirectional, GPIO7_CE1,         IO,    right
27,    bidirectional, GPIO0_ID_SC,       IO,    right
28,    bidirectional, GPIO1_ID_SD,       IO,    right
29,    bidirectional, GPIO5_GCLK1,       IO,    right
31,    bidirectional, GPIO6_GCLK2,       IO,    right
32,    bidirectional, GPIO12_PWM0,       IO,    right
33,    bidirectional, GPIO13_PWM1,       IO,    right
35,    bidirectional, GPIO19_SPI1_MISO,  IO,    right
36,    bidirectional, GPIO16,            IO,    right
37,    bidirectional, GPIO26,            IO,    right
38,    bidirectional, GPIO20_SPI1_MOSI,  IO,    right
40,    bidirectional, GPIO21_SPI1_SCLK,  IO,    right
